CDR_ID,IPDR_ID,Link_Confidence,Link_Type
CDR_00001714,IPDR_00003812,0.773,DEVICE
CDR_00000052,IPDR_00000306,0.743,DEVICE
CDR_00000327,IPDR_00003048,0.841,DEVICE
CDR_00000264,IPDR_00001739,0.916,DEVICE
CDR_00003230,IPDR_00003737,1.0,DEVICE
CDR_00003573,IPDR_00002144,0.947,TEMPORAL
CDR_00004738,IPDR_00001960,0.701,TEMPORAL
CDR_00005742,IPDR_00003283,0.995,TEMPORAL
CDR_00003747,IPDR_00002557,0.899,DEVICE
CDR_00005510,IPDR_00002093,0.833,DEVICE
CDR_00004127,IPDR_00001836,0.933,TEMPORAL
CDR_00003280,IPDR_00002453,0.826,NETWORK
CDR_00004411,IPDR_00000806,0.802,NETWORK
CDR_00003475,IPDR_00000793,0.705,NETWORK
CDR_00004739,IPDR_00002815,0.973,TEMPORAL
CDR_00002979,IPDR_00003439,0.734,DEVICE
CDR_00004456,IPDR_00002813,0.784,TEMPORAL
CDR_00002333,IPDR_00002755,0.732,TEMPORAL
CDR_00005447,IPDR_00002194,0.971,NETWORK
CDR_00003576,IPDR_00000525,0.716,DEVICE
CDR_00002094,IPDR_00002339,0.842,DEVICE
CDR_00005226,IPDR_00003015,0.703,NETWORK
CDR_00004160,IPDR_00001112,0.755,DEVICE
CDR_00001054,IPDR_00000977,0.962,TEMPORAL
CDR_00002043,IPDR_00003618,0.722,TEMPORAL
CDR_00003466,IPDR_00000938,0.815,NETWORK
CDR_00005352,IPDR_00000377,0.841,DEVICE
CDR_00001596,IPDR_00001871,0.748,DEVICE
CDR_00003503,IPDR_00001802,0.826,NETWORK
CDR_00001828,IPDR_00001269,0.918,NETWORK
CDR_00001608,IPDR_00001565,0.773,NETWORK
CDR_00002841,IPDR_00003255,0.786,TEMPORAL
CDR_00000164,IPDR_00003847,0.753,NETWORK
CDR_00000518,IPDR_00001608,0.9,TEMPORAL
CDR_00005887,IPDR_00003896,0.763,TEMPORAL
CDR_00001967,IPDR_00002240,0.886,DEVICE
CDR_00001766,IPDR_00002636,0.97,TEMPORAL
CDR_00001341,IPDR_00003639,0.992,TEMPORAL
CDR_00001866,IPDR_00002676,0.77,DEVICE
CDR_00001051,IPDR_00001951,0.811,TEMPORAL
CDR_00001768,IPDR_00002541,0.805,NETWORK
CDR_00001733,IPDR_00002459,0.717,TEMPORAL
CDR_00005007,IPDR_00000341,0.808,TEMPORAL
CDR_00004652,IPDR_00000697,0.905,DEVICE
CDR_00004817,IPDR_00000287,0.807,NETWORK
CDR_00003795,IPDR_00000932,0.751,NETWORK
CDR_00002223,IPDR_00002760,0.922,NETWORK
CDR_00005355,IPDR_00003294,0.79,DEVICE
CDR_00001595,IPDR_00000515,0.904,TEMPORAL
CDR_00003851,IPDR_00001033,0.893,DEVICE
CDR_00000018,IPDR_00002863,0.993,NETWORK
CDR_00002161,IPDR_00002912,0.997,DEVICE
CDR_00004027,IPDR_00003469,0.927,TEMPORAL
CDR_00005327,IPDR_00001709,0.826,NETWORK
CDR_00002289,IPDR_00002397,0.918,DEVICE
CDR_00004445,IPDR_00001246,0.876,NETWORK
CDR_00001810,IPDR_00002992,0.75,TEMPORAL
CDR_00000496,IPDR_00002072,0.763,DEVICE
CDR_00000495,IPDR_00001926,0.815,DEVICE
CDR_00002282,IPDR_00003815,0.757,NETWORK
CDR_00000240,IPDR_00003263,0.734,NETWORK
CDR_00002973,IPDR_00003038,0.888,DEVICE
CDR_00002260,IPDR_00003857,0.971,TEMPORAL
CDR_00003391,IPDR_00000944,0.703,TEMPORAL
CDR_00003886,IPDR_00000668,0.868,NETWORK
CDR_00002231,IPDR_00003277,0.94,TEMPORAL
CDR_00002672,IPDR_00000444,0.768,NETWORK
CDR_00002548,IPDR_00000666,0.71,DEVICE
CDR_00003535,IPDR_00000886,0.855,TEMPORAL
CDR_00005107,IPDR_00001116,0.717,NETWORK
CDR_00000206,IPDR_00003203,0.824,NETWORK
CDR_00003872,IPDR_00001853,0.767,NETWORK
CDR_00000413,IPDR_00002532,0.998,NETWORK
CDR_00001396,IPDR_00000750,0.868,TEMPORAL
CDR_00000238,IPDR_00003552,0.96,DEVICE
CDR_00005729,IPDR_00002218,0.72,DEVICE
CDR_00000910,IPDR_00000300,0.71,TEMPORAL
CDR_00004387,IPDR_00003853,0.973,TEMPORAL
CDR_00002591,IPDR_00003272,0.813,DEVICE
CDR_00003267,IPDR_00003520,0.839,NETWORK
CDR_00004035,IPDR_00002692,0.777,TEMPORAL
CDR_00002565,IPDR_00001134,0.959,TEMPORAL
CDR_00003305,IPDR_00001395,0.883,DEVICE
CDR_00004802,IPDR_00002633,0.895,TEMPORAL
CDR_00005074,IPDR_00002619,0.763,DEVICE
CDR_00003005,IPDR_00001991,0.732,NETWORK
CDR_00002041,IPDR_00003144,0.715,DEVICE
CDR_00003218,IPDR_00003415,0.953,DEVICE
CDR_00000492,IPDR_00000766,0.823,DEVICE
CDR_00004254,IPDR_00001012,0.767,DEVICE
CDR_00005448,IPDR_00002088,0.979,TEMPORAL
CDR_00001462,IPDR_00002828,0.884,NETWORK
CDR_00005818,IPDR_00000476,0.844,TEMPORAL
CDR_00002046,IPDR_00001969,0.814,DEVICE
CDR_00003506,IPDR_00002695,0.756,NETWORK
CDR_00001719,IPDR_00001912,0.831,DEVICE
CDR_00004212,IPDR_00000179,0.878,NETWORK
CDR_00000157,IPDR_00003216,0.936,TEMPORAL
CDR_00000318,IPDR_00002265,0.8,NETWORK
CDR_00003486,IPDR_00003421,0.969,DEVICE
CDR_00005477,IPDR_00003771,0.846,TEMPORAL
CDR_00000667,IPDR_00000360,0.848,TEMPORAL
CDR_00004640,IPDR_00002290,0.905,DEVICE
CDR_00000588,IPDR_00002413,0.937,DEVICE
CDR_00005871,IPDR_00001036,0.874,TEMPORAL
CDR_00001325,IPDR_00001111,0.962,DEVICE
CDR_00001205,IPDR_00003670,0.831,TEMPORAL
CDR_00002812,IPDR_00001419,0.964,NETWORK
CDR_00000656,IPDR_00003910,0.911,TEMPORAL
CDR_00003447,IPDR_00002069,0.842,DEVICE
CDR_00003307,IPDR_00000781,0.934,DEVICE
CDR_00003415,IPDR_00000381,0.851,DEVICE
CDR_00002732,IPDR_00000418,0.837,NETWORK
CDR_00000412,IPDR_00000555,0.767,NETWORK
CDR_00004246,IPDR_00001379,0.706,NETWORK
CDR_00004173,IPDR_00003577,0.931,DEVICE
CDR_00001452,IPDR_00002357,0.786,DEVICE
CDR_00003780,IPDR_00003102,0.863,NETWORK
CDR_00004186,IPDR_00001035,0.85,DEVICE
CDR_00000892,IPDR_00003071,0.825,DEVICE
CDR_00003479,IPDR_00003593,0.716,DEVICE
CDR_00004067,IPDR_00001680,0.852,DEVICE
CDR_00002144,IPDR_00003922,0.758,NETWORK
CDR_00002146,IPDR_00000081,0.773,TEMPORAL
CDR_00000103,IPDR_00003299,0.828,TEMPORAL
CDR_00005427,IPDR_00001258,0.734,TEMPORAL
CDR_00000661,IPDR_00000992,0.858,DEVICE
CDR_00002574,IPDR_00001890,0.918,TEMPORAL
CDR_00000788,IPDR_00000950,0.956,NETWORK
CDR_00000584,IPDR_00002360,0.751,NETWORK
CDR_00002262,IPDR_00002335,0.845,DEVICE
CDR_00002773,IPDR_00002522,0.867,DEVICE
CDR_00005213,IPDR_00003873,0.816,NETWORK
CDR_00000006,IPDR_00000001,0.737,TEMPORAL
CDR_00002116,IPDR_00003660,0.829,TEMPORAL
CDR_00000095,IPDR_00001574,0.842,NETWORK
CDR_00002315,IPDR_00003444,0.768,NETWORK
CDR_00002284,IPDR_00001236,0.76,DEVICE
CDR_00005171,IPDR_00003551,0.948,DEVICE
CDR_00001936,IPDR_00003753,0.978,DEVICE
CDR_00005605,IPDR_00003192,0.735,NETWORK
CDR_00000096,IPDR_00003590,0.764,TEMPORAL
CDR_00001113,IPDR_00002318,0.813,TEMPORAL
CDR_00004407,IPDR_00003613,0.957,DEVICE
CDR_00004612,IPDR_00003662,0.909,TEMPORAL
CDR_00001659,IPDR_00003596,0.766,DEVICE
CDR_00001982,IPDR_00001832,0.942,DEVICE
CDR_00005462,IPDR_00002724,0.993,DEVICE
CDR_00003885,IPDR_00003700,0.703,TEMPORAL
CDR_00000112,IPDR_00003385,0.991,NETWORK
CDR_00000256,IPDR_00001630,0.9,TEMPORAL
CDR_00004867,IPDR_00000188,0.717,NETWORK
CDR_00002566,IPDR_00001867,0.804,NETWORK
CDR_00005754,IPDR_00000927,0.757,NETWORK
CDR_00001742,IPDR_00002709,0.801,DEVICE
CDR_00005558,IPDR_00000280,0.933,NETWORK
CDR_00004820,IPDR_00001894,0.837,NETWORK
CDR_00005103,IPDR_00002578,0.873,TEMPORAL
CDR_00004348,IPDR_00000298,0.974,DEVICE
CDR_00001495,IPDR_00001828,0.793,NETWORK
CDR_00001998,IPDR_00000856,0.812,DEVICE
CDR_00000279,IPDR_00003347,0.707,TEMPORAL
CDR_00000251,IPDR_00001197,0.961,DEVICE
CDR_00001759,IPDR_00002167,0.75,NETWORK
CDR_00000673,IPDR_00001564,0.94,TEMPORAL
CDR_00004542,IPDR_00001788,0.872,DEVICE
CDR_00005499,IPDR_00001627,0.899,TEMPORAL
CDR_00004194,IPDR_00001343,0.943,TEMPORAL
CDR_00004273,IPDR_00002114,0.995,DEVICE
CDR_00002014,IPDR_00000333,0.801,DEVICE
CDR_00002466,IPDR_00003208,0.962,DEVICE
CDR_00004177,IPDR_00000455,0.915,NETWORK
CDR_00005456,IPDR_00000169,0.871,TEMPORAL
CDR_00005439,IPDR_00001369,0.977,NETWORK
CDR_00000630,IPDR_00000208,0.956,NETWORK
CDR_00004954,IPDR_00003983,0.734,TEMPORAL
CDR_00002354,IPDR_00002865,0.986,TEMPORAL
CDR_00001720,IPDR_00003802,0.73,DEVICE
CDR_00002487,IPDR_00001506,0.994,NETWORK
CDR_00000647,IPDR_00003917,0.793,NETWORK
CDR_00003403,IPDR_00002928,0.792,NETWORK
CDR_00003587,IPDR_00000004,0.706,NETWORK
CDR_00002856,IPDR_00002715,0.946,TEMPORAL
CDR_00005148,IPDR_00002117,0.726,NETWORK
CDR_00003782,IPDR_00000585,0.798,DEVICE
CDR_00001085,IPDR_00000980,0.938,NETWORK
CDR_00000078,IPDR_00003431,0.975,DEVICE
CDR_00001658,IPDR_00002791,0.97,TEMPORAL
CDR_00004015,IPDR_00001602,0.915,DEVICE
CDR_00003908,IPDR_00001287,0.861,TEMPORAL
CDR_00005383,IPDR_00003259,0.757,TEMPORAL
CDR_00000638,IPDR_00002526,0.764,DEVICE
CDR_00002740,IPDR_00003341,0.728,DEVICE
CDR_00005652,IPDR_00002024,0.996,TEMPORAL
CDR_00002300,IPDR_00000825,0.803,NETWORK
CDR_00003130,IPDR_00003800,0.771,DEVICE
CDR_00000440,IPDR_00002924,0.762,NETWORK
CDR_00002302,IPDR_00000910,0.818,TEMPORAL
CDR_00003684,IPDR_00000239,0.749,DEVICE
CDR_00005769,IPDR_00002843,0.987,TEMPORAL
CDR_00005452,IPDR_00003895,0.92,TEMPORAL
CDR_00003665,IPDR_00001839,0.948,TEMPORAL
CDR_00000439,IPDR_00001082,0.766,NETWORK
CDR_00005670,IPDR_00003241,0.884,DEVICE
CDR_00001853,IPDR_00002885,0.875,DEVICE
CDR_00003735,IPDR_00000123,0.778,DEVICE
CDR_00002906,IPDR_00000753,0.842,DEVICE
CDR_00005113,IPDR_00002991,0.837,NETWORK
CDR_00005736,IPDR_00002519,0.905,DEVICE
CDR_00002067,IPDR_00002435,0.851,DEVICE
CDR_00003926,IPDR_00002905,0.843,NETWORK
CDR_00005369,IPDR_00003555,0.742,DEVICE
CDR_00005786,IPDR_00001921,0.975,DEVICE
CDR_00003893,IPDR_00000986,0.847,DEVICE
CDR_00005568,IPDR_00003704,0.792,NETWORK
CDR_00004451,IPDR_00002129,0.757,DEVICE
CDR_00002301,IPDR_00002317,0.822,NETWORK
CDR_00003575,IPDR_00003324,0.778,DEVICE
CDR_00005584,IPDR_00001490,0.94,TEMPORAL
CDR_00003642,IPDR_00001974,0.824,NETWORK
CDR_00005820,IPDR_00002418,0.988,TEMPORAL
CDR_00002749,IPDR_00001659,0.797,TEMPORAL
CDR_00002819,IPDR_00003381,0.94,NETWORK
CDR_00003728,IPDR_00003378,0.894,TEMPORAL
CDR_00004741,IPDR_00003620,0.747,DEVICE
CDR_00000219,IPDR_00001188,0.897,NETWORK
CDR_00001960,IPDR_00002259,0.978,TEMPORAL
CDR_00002994,IPDR_00001173,0.934,NETWORK
CDR_00004209,IPDR_00002056,0.85,TEMPORAL
CDR_00001639,IPDR_00002845,0.965,NETWORK
CDR_00005691,IPDR_00003459,0.702,DEVICE
CDR_00000619,IPDR_00000321,0.891,TEMPORAL
CDR_00005228,IPDR_00002965,0.895,DEVICE
CDR_00003669,IPDR_00001175,0.984,DEVICE
CDR_00004906,IPDR_00000637,0.885,NETWORK
CDR_00004530,IPDR_00001899,0.933,NETWORK
CDR_00001262,IPDR_00002321,0.812,DEVICE
CDR_00002326,IPDR_00000641,0.88,TEMPORAL
CDR_00003958,IPDR_00000716,0.784,NETWORK
CDR_00002519,IPDR_00002524,0.738,TEMPORAL
CDR_00005293,IPDR_00001938,0.912,NETWORK
CDR_00005231,IPDR_00003400,0.898,NETWORK
CDR_00004982,IPDR_00001044,0.928,NETWORK
CDR_00002298,IPDR_00002515,0.772,TEMPORAL
CDR_00001538,IPDR_00001988,0.903,DEVICE
CDR_00005176,IPDR_00000100,0.979,TEMPORAL
CDR_00000140,IPDR_00000310,0.972,TEMPORAL
CDR_00002483,IPDR_00000891,0.887,NETWORK
CDR_00003688,IPDR_00000803,0.998,DEVICE
CDR_00001425,IPDR_00002264,0.852,TEMPORAL
CDR_00004851,IPDR_00000903,0.71,TEMPORAL
CDR_00001465,IPDR_00002261,0.765,TEMPORAL
CDR_00002726,IPDR_00002250,0.712,DEVICE
CDR_00003943,IPDR_00002690,0.9,NETWORK
CDR_00001916,IPDR_00001117,0.918,DEVICE
CDR_00004711,IPDR_00000976,0.782,TEMPORAL
CDR_00003525,IPDR_00003784,0.991,TEMPORAL
CDR_00002366,IPDR_00003194,0.739,NETWORK
CDR_00003274,IPDR_00002148,0.875,DEVICE
CDR_00001050,IPDR_00001655,0.828,TEMPORAL
CDR_00002884,IPDR_00001391,0.793,TEMPORAL
CDR_00003854,IPDR_00003301,0.906,TEMPORAL
CDR_00004044,IPDR_00000479,0.825,TEMPORAL
CDR_00001287,IPDR_00001666,0.721,DEVICE
CDR_00001532,IPDR_00003437,0.878,TEMPORAL
CDR_00005635,IPDR_00001824,0.869,TEMPORAL
CDR_00001309,IPDR_00001892,0.744,DEVICE
CDR_00002724,IPDR_00001328,0.87,TEMPORAL
CDR_00002096,IPDR_00003569,0.71,DEVICE
CDR_00004709,IPDR_00003841,0.767,NETWORK
CDR_00001591,IPDR_00003761,0.863,NETWORK
CDR_00005564,IPDR_00002195,0.847,DEVICE
CDR_00002976,IPDR_00000868,0.768,TEMPORAL
CDR_00003015,IPDR_00003698,0.705,DEVICE
CDR_00002370,IPDR_00000634,0.729,NETWORK
CDR_00002420,IPDR_00002830,0.709,TEMPORAL
CDR_00003983,IPDR_00000619,0.811,TEMPORAL
CDR_00002076,IPDR_00002922,0.722,TEMPORAL
CDR_00002512,IPDR_00001605,0.987,TEMPORAL
CDR_00003474,IPDR_00002410,0.992,NETWORK
CDR_00000348,IPDR_00002529,0.736,TEMPORAL
CDR_00005739,IPDR_00002368,0.827,NETWORK
CDR_00004450,IPDR_00000235,0.96,TEMPORAL
CDR_00000554,IPDR_00002343,0.859,DEVICE
CDR_00003236,IPDR_00001220,0.932,TEMPORAL
CDR_00002820,IPDR_00001098,0.786,NETWORK
CDR_00001804,IPDR_00002437,0.791,DEVICE
CDR_00001353,IPDR_00000192,0.911,NETWORK
CDR_00001456,IPDR_00000128,0.749,DEVICE
CDR_00004466,IPDR_00003398,0.943,NETWORK
CDR_00004788,IPDR_00003744,0.982,TEMPORAL
CDR_00004998,IPDR_00001404,0.917,TEMPORAL
CDR_00001045,IPDR_00001329,0.955,NETWORK
CDR_00005474,IPDR_00000870,0.739,TEMPORAL
CDR_00004983,IPDR_00001473,0.759,DEVICE
CDR_00004120,IPDR_00003495,0.748,TEMPORAL
CDR_00004292,IPDR_00002486,0.97,TEMPORAL
CDR_00002416,IPDR_00000254,0.745,TEMPORAL
CDR_00005916,IPDR_00001138,0.846,NETWORK
CDR_00005131,IPDR_00000428,0.88,TEMPORAL
CDR_00003167,IPDR_00003626,0.777,DEVICE
CDR_00004940,IPDR_00000196,0.767,NETWORK
CDR_00003155,IPDR_00002974,0.955,NETWORK
CDR_00005501,IPDR_00003683,0.912,NETWORK
CDR_00001771,IPDR_00001781,0.709,DEVICE
CDR_00002662,IPDR_00001531,0.941,DEVICE
CDR_00000882,IPDR_00003598,0.776,DEVICE
CDR_00002534,IPDR_00002795,0.726,DEVICE
CDR_00000757,IPDR_00003669,0.984,TEMPORAL
CDR_00003852,IPDR_00001156,0.85,NETWORK
CDR_00000928,IPDR_00001910,0.723,NETWORK
CDR_00003057,IPDR_00001774,0.862,NETWORK
CDR_00005430,IPDR_00003712,0.915,NETWORK
CDR_00003157,IPDR_00003667,0.757,TEMPORAL
CDR_00003406,IPDR_00002510,0.966,NETWORK
CDR_00003690,IPDR_00003806,0.785,DEVICE
CDR_00002375,IPDR_00001171,0.984,TEMPORAL
CDR_00002164,IPDR_00002823,0.927,TEMPORAL
CDR_00000274,IPDR_00002097,0.835,TEMPORAL
CDR_00002020,IPDR_00002041,0.844,DEVICE
CDR_00001515,IPDR_00002068,0.984,DEVICE
CDR_00005065,IPDR_00000431,0.824,NETWORK
CDR_00001078,IPDR_00000294,0.88,NETWORK
CDR_00001018,IPDR_00002577,0.753,TEMPORAL
CDR_00005880,IPDR_00003519,0.763,NETWORK
CDR_00005009,IPDR_00003951,0.793,NETWORK
CDR_00000040,IPDR_00001852,0.8,DEVICE
CDR_00002533,IPDR_00000731,0.857,TEMPORAL
CDR_00004452,IPDR_00001221,0.721,DEVICE
CDR_00004280,IPDR_00003943,0.934,DEVICE
CDR_00003138,IPDR_00000442,0.913,DEVICE
CDR_00001245,IPDR_00000674,0.705,TEMPORAL
CDR_00002517,IPDR_00003082,0.875,NETWORK
CDR_00001337,IPDR_00002600,0.893,NETWORK
CDR_00001522,IPDR_00002053,0.724,TEMPORAL
CDR_00002311,IPDR_00003972,0.973,NETWORK
CDR_00003873,IPDR_00000372,0.956,DEVICE
CDR_00002541,IPDR_00002612,0.741,NETWORK
CDR_00003988,IPDR_00001307,0.763,DEVICE
CDR_00002417,IPDR_00001340,0.736,TEMPORAL
CDR_00002478,IPDR_00001842,0.769,NETWORK
CDR_00004187,IPDR_00000777,0.95,NETWORK
CDR_00002889,IPDR_00002938,0.856,DEVICE
CDR_00004907,IPDR_00003571,0.852,NETWORK
CDR_00002297,IPDR_00002237,0.748,DEVICE
CDR_00002772,IPDR_00000357,0.882,DEVICE
CDR_00003784,IPDR_00003930,0.739,DEVICE
CDR_00001376,IPDR_00003640,0.734,DEVICE
CDR_00004184,IPDR_00000548,0.875,NETWORK
CDR_00001068,IPDR_00002898,0.894,NETWORK
CDR_00005863,IPDR_00003757,0.745,DEVICE
CDR_00003031,IPDR_00003820,0.821,TEMPORAL
CDR_00005241,IPDR_00001942,0.961,TEMPORAL
CDR_00000610,IPDR_00001850,0.707,NETWORK
CDR_00005556,IPDR_00000682,0.804,TEMPORAL
CDR_00002851,IPDR_00000698,0.911,NETWORK
CDR_00005388,IPDR_00002628,0.976,TEMPORAL
CDR_00000409,IPDR_00002957,0.887,TEMPORAL
CDR_00005827,IPDR_00000131,0.783,DEVICE
CDR_00000221,IPDR_00002952,0.996,TEMPORAL
CDR_00003965,IPDR_00002106,0.816,NETWORK
CDR_00004100,IPDR_00000683,0.755,NETWORK
CDR_00000919,IPDR_00003250,0.963,NETWORK
CDR_00001576,IPDR_00000701,0.909,TEMPORAL
CDR_00003414,IPDR_00002624,0.974,DEVICE
CDR_00000700,IPDR_00003229,0.954,DEVICE
CDR_00001536,IPDR_00001949,0.947,DEVICE
CDR_00003275,IPDR_00001577,0.81,DEVICE
CDR_00005313,IPDR_00002718,0.712,DEVICE
CDR_00001616,IPDR_00001445,0.824,TEMPORAL
CDR_00000483,IPDR_00003224,0.953,NETWORK
CDR_00004955,IPDR_00001884,0.756,NETWORK
CDR_00004908,IPDR_00003866,0.844,DEVICE
CDR_00005193,IPDR_00002903,0.733,TEMPORAL
CDR_00003662,IPDR_00002854,0.884,NETWORK
CDR_00003176,IPDR_00001904,0.999,DEVICE
CDR_00005937,IPDR_00002090,0.853,NETWORK
CDR_00000963,IPDR_00001207,0.975,DEVICE
CDR_00002597,IPDR_00001183,0.747,NETWORK
CDR_00000640,IPDR_00001587,0.826,TEMPORAL
CDR_00000176,IPDR_00003468,0.998,NETWORK
CDR_00000872,IPDR_00001599,0.857,NETWORK
CDR_00005053,IPDR_00003488,0.928,TEMPORAL
CDR_00001239,IPDR_00001920,0.982,TEMPORAL
CDR_00005398,IPDR_00000794,0.954,DEVICE
CDR_00000097,IPDR_00001172,0.981,DEVICE
CDR_00005952,IPDR_00003516,0.706,TEMPORAL
CDR_00000721,IPDR_00000268,0.901,TEMPORAL
CDR_00001323,IPDR_00002096,0.981,TEMPORAL
CDR_00000920,IPDR_00002492,0.93,NETWORK
CDR_00001196,IPDR_00003978,0.811,TEMPORAL
CDR_00001137,IPDR_00001050,0.972,TEMPORAL
CDR_00005278,IPDR_00000398,0.961,DEVICE
CDR_00000855,IPDR_00000880,0.875,TEMPORAL
CDR_00002496,IPDR_00000972,0.944,NETWORK
CDR_00003339,IPDR_00001943,0.701,DEVICE
CDR_00002473,IPDR_00002730,0.862,NETWORK
CDR_00004683,IPDR_00001667,0.971,NETWORK
CDR_00004644,IPDR_00001848,0.984,NETWORK
CDR_00005161,IPDR_00000730,0.751,DEVICE
CDR_00002412,IPDR_00003646,0.799,DEVICE
CDR_00001990,IPDR_00000969,0.751,NETWORK
CDR_00005654,IPDR_00002246,0.714,TEMPORAL
CDR_00003099,IPDR_00001059,0.799,DEVICE
CDR_00003938,IPDR_00000712,0.88,TEMPORAL
CDR_00002511,IPDR_00000915,0.997,NETWORK
CDR_00003888,IPDR_00003674,0.95,NETWORK
CDR_00005417,IPDR_00002370,0.967,TEMPORAL
CDR_00000696,IPDR_00003220,0.979,NETWORK
CDR_00003073,IPDR_00003380,0.828,NETWORK
CDR_00003437,IPDR_00001114,0.849,DEVICE
CDR_00005899,IPDR_00002166,0.858,NETWORK
CDR_00001480,IPDR_00001331,0.959,DEVICE
CDR_00002261,IPDR_00001534,0.831,NETWORK
CDR_00002371,IPDR_00003904,0.735,NETWORK
CDR_00000612,IPDR_00000493,0.961,TEMPORAL
CDR_00005972,IPDR_00001014,0.793,NETWORK
CDR_00000751,IPDR_00003238,0.954,DEVICE
CDR_00000485,IPDR_00002219,0.832,DEVICE
CDR_00005470,IPDR_00000328,0.808,NETWORK
CDR_00002640,IPDR_00002454,0.818,TEMPORAL
CDR_00000742,IPDR_00000878,0.943,NETWORK
CDR_00002265,IPDR_00003844,0.932,DEVICE
CDR_00000125,IPDR_00003044,0.952,NETWORK
CDR_00002863,IPDR_00000216,0.79,NETWORK
CDR_00005257,IPDR_00001603,0.862,TEMPORAL
CDR_00002500,IPDR_00000318,0.951,DEVICE
CDR_00000930,IPDR_00002282,0.883,NETWORK
