Transaction_ID,CDR_ID,Link_Confidence,Link_Type
TXN_00001228,CDR_00005447,0.92,TEMPORAL
TXN_00001459,CDR_00003576,0.74,TEMPORAL
TXN_00001182,CDR_00002094,0.724,ENTITY
TXN_00001837,CDR_00005226,0.729,GEO_SPATIAL
TXN_00000026,CDR_00004160,0.712,ENTITY
TXN_00000958,CDR_00001054,0.778,GEO_SPATIAL
TXN_00000014,CDR_00002043,0.96,TEMPORAL
TXN_00000330,CDR_00003466,0.877,ENTITY
TXN_00001650,CDR_00005352,0.958,TEMPORAL
TXN_00000888,CDR_00001596,0.794,ENTITY
TXN_00001075,CDR_00003503,0.873,GEO_SPATIAL
TXN_00000886,CDR_00001828,0.766,GEO_SPATIAL
TXN_00000537,CDR_00001608,0.963,GEO_SPATIAL
TXN_00001204,CDR_00002841,0.81,TEMPORAL
TXN_00001990,CDR_00000164,0.836,ENTITY
TXN_00000267,CDR_00000518,0.899,TEMPORAL
TXN_00000551,CDR_00005887,0.983,TEMPORAL
TXN_00001975,CDR_00001967,0.987,TEMPORAL
TXN_00000866,CDR_00001766,0.851,TEMPORAL
TXN_00000991,CDR_00001341,0.807,ENTITY
TXN_00001917,CDR_00001866,0.962,ENTITY
TXN_00000153,CDR_00001051,0.847,GEO_SPATIAL
TXN_00001870,CDR_00001768,0.988,GEO_SPATIAL
TXN_00001685,CDR_00001733,0.901,TEMPORAL
TXN_00000964,CDR_00005007,0.906,GEO_SPATIAL
TXN_00000744,CDR_00004652,0.874,GEO_SPATIAL
TXN_00001259,CDR_00004817,0.84,TEMPORAL
TXN_00000211,CDR_00003795,0.769,ENTITY
TXN_00000683,CDR_00002223,0.938,TEMPORAL
TXN_00001181,CDR_00005355,0.71,TEMPORAL
TXN_00001923,CDR_00001595,0.874,ENTITY
TXN_00001435,CDR_00003851,0.709,TEMPORAL
TXN_00001421,CDR_00000018,0.819,ENTITY
TXN_00000180,CDR_00002161,0.937,GEO_SPATIAL
TXN_00001538,CDR_00004027,0.888,ENTITY
TXN_00001940,CDR_00005327,0.715,GEO_SPATIAL
TXN_00001252,CDR_00002289,0.989,TEMPORAL
TXN_00001560,CDR_00004445,0.931,ENTITY
TXN_00001984,CDR_00001810,0.761,GEO_SPATIAL
TXN_00001150,CDR_00000496,0.712,GEO_SPATIAL
TXN_00001912,CDR_00000495,0.879,GEO_SPATIAL
TXN_00001083,CDR_00002282,0.73,ENTITY
TXN_00001707,CDR_00000240,0.885,GEO_SPATIAL
TXN_00001470,CDR_00002973,0.812,GEO_SPATIAL
TXN_00001454,CDR_00002260,0.758,TEMPORAL
TXN_00000740,CDR_00003391,0.819,TEMPORAL
TXN_00000073,CDR_00003886,0.939,TEMPORAL
TXN_00000478,CDR_00002231,0.815,ENTITY
TXN_00001382,CDR_00002672,0.862,GEO_SPATIAL
TXN_00000859,CDR_00002548,0.994,TEMPORAL
TXN_00001848,CDR_00003535,0.986,GEO_SPATIAL
TXN_00000427,CDR_00005107,0.75,ENTITY
TXN_00000413,CDR_00000206,0.706,ENTITY
TXN_00000295,CDR_00003872,0.769,ENTITY
TXN_00001044,CDR_00000413,0.87,ENTITY
TXN_00000613,CDR_00001396,0.759,GEO_SPATIAL
TXN_00001433,CDR_00000238,0.868,ENTITY
TXN_00000093,CDR_00005729,0.847,GEO_SPATIAL
TXN_00001235,CDR_00000910,0.888,TEMPORAL
TXN_00001292,CDR_00004387,0.809,TEMPORAL
TXN_00000623,CDR_00002591,0.892,ENTITY
TXN_00001337,CDR_00003267,0.729,ENTITY
TXN_00001780,CDR_00004035,0.841,TEMPORAL
TXN_00000743,CDR_00002565,0.825,TEMPORAL
TXN_00000087,CDR_00003305,0.948,TEMPORAL
TXN_00000499,CDR_00004802,0.732,GEO_SPATIAL
TXN_00001674,CDR_00005074,0.727,TEMPORAL
TXN_00001015,CDR_00003005,0.703,TEMPORAL
TXN_00001030,CDR_00002041,0.844,TEMPORAL
TXN_00001448,CDR_00003218,0.721,ENTITY
TXN_00000178,CDR_00000492,0.88,ENTITY
TXN_00000843,CDR_00004254,0.863,TEMPORAL
TXN_00001341,CDR_00005448,0.811,TEMPORAL
TXN_00001163,CDR_00001462,0.926,ENTITY
TXN_00001186,CDR_00005818,0.903,GEO_SPATIAL
TXN_00000175,CDR_00002046,0.814,ENTITY
TXN_00001007,CDR_00003506,0.76,GEO_SPATIAL
TXN_00000765,CDR_00001719,0.701,ENTITY
TXN_00001672,CDR_00004212,0.972,ENTITY
TXN_00000818,CDR_00000157,0.903,GEO_SPATIAL
TXN_00000893,CDR_00000318,0.882,GEO_SPATIAL
TXN_00000490,CDR_00003486,0.939,GEO_SPATIAL
TXN_00001370,CDR_00005477,0.783,GEO_SPATIAL
TXN_00000999,CDR_00000667,0.753,GEO_SPATIAL
TXN_00001926,CDR_00004640,0.975,ENTITY
TXN_00000694,CDR_00000588,0.969,GEO_SPATIAL
TXN_00001466,CDR_00005871,0.706,ENTITY
TXN_00000297,CDR_00001325,0.969,ENTITY
TXN_00000986,CDR_00001205,0.967,ENTITY
TXN_00001055,CDR_00002812,0.882,ENTITY
TXN_00001550,CDR_00000656,0.867,ENTITY
TXN_00000284,CDR_00003447,0.928,TEMPORAL
TXN_00001147,CDR_00003307,0.787,TEMPORAL
TXN_00000393,CDR_00003415,0.997,TEMPORAL
TXN_00001727,CDR_00002732,0.819,ENTITY
TXN_00000082,CDR_00000412,0.717,TEMPORAL
TXN_00001638,CDR_00004246,0.807,ENTITY
TXN_00000456,CDR_00004173,0.977,ENTITY
TXN_00000803,CDR_00001452,0.802,ENTITY
TXN_00001284,CDR_00003780,0.721,TEMPORAL
TXN_00001238,CDR_00004186,0.738,GEO_SPATIAL
TXN_00001413,CDR_00000892,0.869,GEO_SPATIAL
TXN_00000587,CDR_00003479,0.963,ENTITY
TXN_00000739,CDR_00004067,0.706,GEO_SPATIAL
TXN_00000168,CDR_00002144,0.703,TEMPORAL
TXN_00000477,CDR_00002146,0.926,GEO_SPATIAL
TXN_00001066,CDR_00000103,0.779,ENTITY
TXN_00001113,CDR_00005427,0.75,GEO_SPATIAL
TXN_00000131,CDR_00000661,0.946,TEMPORAL
TXN_00000095,CDR_00002574,0.951,GEO_SPATIAL
TXN_00000842,CDR_00000788,0.919,GEO_SPATIAL
TXN_00000660,CDR_00000584,0.74,GEO_SPATIAL
TXN_00001720,CDR_00002262,0.793,ENTITY
TXN_00000482,CDR_00002773,0.862,TEMPORAL
TXN_00000702,CDR_00005213,0.88,ENTITY
TXN_00000320,CDR_00000006,0.802,GEO_SPATIAL
TXN_00000375,CDR_00002116,0.949,TEMPORAL
TXN_00001070,CDR_00000095,0.926,GEO_SPATIAL
TXN_00001655,CDR_00002315,0.707,TEMPORAL
TXN_00000331,CDR_00002284,0.974,GEO_SPATIAL
TXN_00000302,CDR_00005171,0.936,TEMPORAL
TXN_00000198,CDR_00001936,0.789,ENTITY
TXN_00000356,CDR_00005605,0.711,GEO_SPATIAL
TXN_00000367,CDR_00000096,0.964,ENTITY
TXN_00000589,CDR_00001113,0.898,TEMPORAL
TXN_00000804,CDR_00004407,0.939,GEO_SPATIAL
TXN_00001303,CDR_00004612,0.949,ENTITY
TXN_00001979,CDR_00001659,0.914,ENTITY
TXN_00001210,CDR_00001982,0.73,TEMPORAL
TXN_00001029,CDR_00005462,0.762,ENTITY
TXN_00000775,CDR_00003885,0.73,TEMPORAL
TXN_00000442,CDR_00000112,0.937,TEMPORAL
TXN_00001019,CDR_00000256,0.729,GEO_SPATIAL
TXN_00001272,CDR_00004867,0.843,TEMPORAL
TXN_00001548,CDR_00002566,0.918,GEO_SPATIAL
TXN_00000570,CDR_00005754,0.822,GEO_SPATIAL
TXN_00000734,CDR_00001742,0.899,ENTITY
TXN_00001224,CDR_00005558,0.787,GEO_SPATIAL
TXN_00000939,CDR_00004820,0.853,GEO_SPATIAL
TXN_00000634,CDR_00005103,0.734,TEMPORAL
TXN_00001183,CDR_00004348,0.736,GEO_SPATIAL
TXN_00000498,CDR_00001495,0.779,ENTITY
TXN_00000357,CDR_00001998,0.958,ENTITY
TXN_00001799,CDR_00000279,0.756,TEMPORAL
TXN_00000289,CDR_00000251,0.754,ENTITY
TXN_00001390,CDR_00001759,0.945,GEO_SPATIAL
TXN_00001192,CDR_00000673,0.929,GEO_SPATIAL
TXN_00001663,CDR_00004542,0.744,GEO_SPATIAL
TXN_00000678,CDR_00005499,0.988,ENTITY
TXN_00000858,CDR_00004194,0.74,ENTITY
TXN_00000615,CDR_00004273,0.884,TEMPORAL
TXN_00000996,CDR_00002014,0.755,GEO_SPATIAL
TXN_00000874,CDR_00002466,0.757,ENTITY
TXN_00000639,CDR_00004177,0.828,ENTITY
TXN_00001211,CDR_00005456,0.89,TEMPORAL
TXN_00000492,CDR_00005439,0.99,TEMPORAL
TXN_00000081,CDR_00000630,0.736,TEMPORAL
TXN_00001670,CDR_00004954,0.766,TEMPORAL
TXN_00001653,CDR_00002354,0.975,TEMPORAL
TXN_00000638,CDR_00001720,0.916,TEMPORAL
TXN_00001456,CDR_00002487,0.784,GEO_SPATIAL
TXN_00001811,CDR_00000647,0.738,GEO_SPATIAL
TXN_00000292,CDR_00003403,0.94,GEO_SPATIAL
TXN_00000021,CDR_00003587,0.885,GEO_SPATIAL
TXN_00000118,CDR_00002856,0.971,ENTITY
TXN_00000360,CDR_00005148,0.961,TEMPORAL
TXN_00001836,CDR_00003782,0.985,GEO_SPATIAL
TXN_00000872,CDR_00001085,0.983,ENTITY
TXN_00001061,CDR_00000078,0.911,TEMPORAL
TXN_00001497,CDR_00001658,0.965,ENTITY
TXN_00000783,CDR_00004015,0.905,GEO_SPATIAL
TXN_00000167,CDR_00003908,0.827,ENTITY
TXN_00000909,CDR_00005383,0.941,TEMPORAL
TXN_00000241,CDR_00000638,0.742,GEO_SPATIAL
TXN_00000927,CDR_00002740,0.793,GEO_SPATIAL
TXN_00000973,CDR_00005652,0.911,TEMPORAL
TXN_00000914,CDR_00002300,0.998,GEO_SPATIAL
TXN_00000906,CDR_00003130,0.907,GEO_SPATIAL
TXN_00001914,CDR_00000440,0.788,ENTITY
TXN_00001267,CDR_00002302,0.888,ENTITY
TXN_00001439,CDR_00003684,0.739,TEMPORAL
TXN_00000098,CDR_00005769,0.936,TEMPORAL
TXN_00000177,CDR_00005452,0.77,TEMPORAL
TXN_00001527,CDR_00003665,0.952,GEO_SPATIAL
TXN_00001758,CDR_00000439,0.966,ENTITY
TXN_00001022,CDR_00005670,0.978,GEO_SPATIAL
TXN_00001265,CDR_00001853,0.995,ENTITY
TXN_00001523,CDR_00003735,0.788,TEMPORAL
TXN_00001711,CDR_00002906,0.938,GEO_SPATIAL
TXN_00000761,CDR_00005113,0.83,ENTITY
TXN_00000106,CDR_00005736,0.837,ENTITY
TXN_00000521,CDR_00002067,0.989,ENTITY
TXN_00000774,CDR_00003926,0.771,ENTITY
TXN_00000899,CDR_00005369,0.759,GEO_SPATIAL
TXN_00001477,CDR_00005786,0.943,GEO_SPATIAL
TXN_00000705,CDR_00003893,0.967,TEMPORAL
TXN_00000693,CDR_00005568,0.924,TEMPORAL
TXN_00001260,CDR_00004451,0.8,TEMPORAL
TXN_00000777,CDR_00002301,0.817,ENTITY
TXN_00000436,CDR_00003575,0.757,GEO_SPATIAL
TXN_00000314,CDR_00005584,0.97,ENTITY
TXN_00000711,CDR_00003642,0.972,TEMPORAL
TXN_00001087,CDR_00005820,0.799,GEO_SPATIAL
TXN_00000896,CDR_00002749,0.84,GEO_SPATIAL
TXN_00001103,CDR_00002819,0.814,TEMPORAL
TXN_00001760,CDR_00003728,0.897,TEMPORAL
TXN_00000037,CDR_00004741,0.763,ENTITY
TXN_00001364,CDR_00000219,0.976,TEMPORAL
TXN_00000974,CDR_00001960,0.758,TEMPORAL
TXN_00001441,CDR_00002994,0.928,GEO_SPATIAL
TXN_00001603,CDR_00004209,0.98,ENTITY
TXN_00000512,CDR_00001639,0.93,ENTITY
TXN_00000233,CDR_00005691,0.875,TEMPORAL
TXN_00000440,CDR_00000619,0.865,TEMPORAL
TXN_00001304,CDR_00005228,0.95,GEO_SPATIAL
TXN_00000731,CDR_00003669,0.967,TEMPORAL
TXN_00001468,CDR_00004906,0.8,ENTITY
TXN_00001955,CDR_00004530,0.772,GEO_SPATIAL
TXN_00001535,CDR_00001262,0.724,GEO_SPATIAL
TXN_00001507,CDR_00002326,0.919,GEO_SPATIAL
TXN_00000501,CDR_00003958,0.982,TEMPORAL
TXN_00001359,CDR_00002519,0.855,ENTITY
TXN_00000305,CDR_00005293,0.859,TEMPORAL
TXN_00001687,CDR_00005231,0.964,TEMPORAL
TXN_00001073,CDR_00004982,0.704,ENTITY
TXN_00001308,CDR_00002298,0.786,ENTITY
TXN_00000567,CDR_00001538,0.888,ENTITY
TXN_00001480,CDR_00005176,0.873,GEO_SPATIAL
TXN_00000196,CDR_00000140,0.704,ENTITY
TXN_00000405,CDR_00002483,0.836,TEMPORAL
TXN_00000588,CDR_00003688,0.816,TEMPORAL
TXN_00000689,CDR_00001425,0.772,GEO_SPATIAL
TXN_00000553,CDR_00004851,0.952,TEMPORAL
TXN_00001793,CDR_00001465,0.939,ENTITY
TXN_00000084,CDR_00002726,0.846,ENTITY
TXN_00001458,CDR_00003943,0.975,TEMPORAL
TXN_00000791,CDR_00001916,0.788,GEO_SPATIAL
TXN_00000377,CDR_00004711,0.891,ENTITY
TXN_00001461,CDR_00003525,0.94,GEO_SPATIAL
TXN_00001581,CDR_00002366,0.868,TEMPORAL
TXN_00000042,CDR_00003274,0.884,ENTITY
TXN_00000486,CDR_00001050,0.809,GEO_SPATIAL
TXN_00001781,CDR_00002884,0.727,GEO_SPATIAL
TXN_00001883,CDR_00003854,0.952,GEO_SPATIAL
TXN_00000959,CDR_00004044,0.839,GEO_SPATIAL
TXN_00001383,CDR_00001287,0.861,ENTITY
TXN_00001072,CDR_00001532,0.811,ENTITY
TXN_00001502,CDR_00005635,0.828,TEMPORAL
TXN_00001607,CDR_00001309,0.8,ENTITY
TXN_00000894,CDR_00002724,0.728,GEO_SPATIAL
TXN_00000814,CDR_00002096,0.777,TEMPORAL
TXN_00001800,CDR_00004709,0.921,ENTITY
TXN_00000970,CDR_00001591,0.987,TEMPORAL
TXN_00001423,CDR_00005564,0.79,TEMPORAL
TXN_00001082,CDR_00002976,0.796,GEO_SPATIAL
TXN_00001229,CDR_00003015,0.906,GEO_SPATIAL
TXN_00001646,CDR_00002370,0.723,ENTITY
TXN_00001639,CDR_00002420,0.996,TEMPORAL
TXN_00000439,CDR_00003983,0.818,GEO_SPATIAL
TXN_00001155,CDR_00002076,0.927,ENTITY
TXN_00001377,CDR_00002512,0.804,TEMPORAL
TXN_00000531,CDR_00003474,0.93,ENTITY
TXN_00001074,CDR_00000348,0.87,ENTITY
TXN_00001767,CDR_00005739,0.776,ENTITY
TXN_00000824,CDR_00004450,0.706,ENTITY
TXN_00000434,CDR_00000554,0.961,TEMPORAL
TXN_00001078,CDR_00003236,0.806,GEO_SPATIAL
TXN_00001376,CDR_00002820,0.868,ENTITY
TXN_00000635,CDR_00001804,0.763,TEMPORAL
TXN_00000961,CDR_00001353,0.974,TEMPORAL
TXN_00000497,CDR_00001456,0.725,GEO_SPATIAL
TXN_00001654,CDR_00004466,0.8,TEMPORAL
TXN_00001816,CDR_00004788,0.801,GEO_SPATIAL
TXN_00001328,CDR_00004998,0.796,TEMPORAL
TXN_00000140,CDR_00001045,0.79,ENTITY
TXN_00001903,CDR_00005474,0.915,TEMPORAL
TXN_00000286,CDR_00004983,0.964,GEO_SPATIAL
TXN_00001861,CDR_00004120,0.942,ENTITY
TXN_00000013,CDR_00004292,0.825,ENTITY
TXN_00001137,CDR_00002416,0.707,TEMPORAL
TXN_00001287,CDR_00005916,0.778,TEMPORAL
TXN_00000889,CDR_00005131,0.802,GEO_SPATIAL
TXN_00000794,CDR_00003167,0.996,TEMPORAL
TXN_00001371,CDR_00004940,0.886,GEO_SPATIAL
TXN_00000412,CDR_00003155,0.798,ENTITY
TXN_00001678,CDR_00005501,0.801,GEO_SPATIAL
TXN_00001871,CDR_00001771,0.769,ENTITY
TXN_00000628,CDR_00002662,0.724,ENTITY
TXN_00001580,CDR_00000882,0.825,ENTITY
TXN_00001520,CDR_00002534,0.761,ENTITY
TXN_00000725,CDR_00000757,0.821,GEO_SPATIAL
TXN_00000603,CDR_00003852,0.774,ENTITY
TXN_00000757,CDR_00000928,0.997,TEMPORAL
TXN_00000350,CDR_00003057,0.979,GEO_SPATIAL
TXN_00001982,CDR_00005430,0.826,ENTITY
TXN_00001832,CDR_00003157,0.924,ENTITY
TXN_00000494,CDR_00003406,0.85,GEO_SPATIAL
TXN_00000423,CDR_00003690,0.857,TEMPORAL
TXN_00001288,CDR_00002375,0.838,TEMPORAL
TXN_00000254,CDR_00002164,0.967,ENTITY
TXN_00001141,CDR_00000274,0.996,TEMPORAL
TXN_00001561,CDR_00002020,0.758,GEO_SPATIAL
TXN_00000895,CDR_00001515,0.901,GEO_SPATIAL
TXN_00000751,CDR_00005065,0.788,GEO_SPATIAL
TXN_00001582,CDR_00001078,0.863,GEO_SPATIAL
TXN_00001513,CDR_00001018,0.917,ENTITY
TXN_00001770,CDR_00005880,0.748,ENTITY
TXN_00001981,CDR_00005009,0.932,TEMPORAL
TXN_00001170,CDR_00000040,0.901,TEMPORAL
TXN_00001995,CDR_00002533,0.827,ENTITY
TXN_00000293,CDR_00004452,0.796,TEMPORAL
TXN_00001346,CDR_00004280,0.898,TEMPORAL
TXN_00001198,CDR_00003138,0.789,TEMPORAL
TXN_00001169,CDR_00001245,0.729,GEO_SPATIAL
TXN_00000201,CDR_00002517,0.745,GEO_SPATIAL
TXN_00001120,CDR_00001337,0.958,TEMPORAL
TXN_00001021,CDR_00001522,0.71,ENTITY
TXN_00001537,CDR_00002311,0.958,ENTITY
TXN_00001992,CDR_00003873,0.857,TEMPORAL
TXN_00001486,CDR_00002541,0.992,TEMPORAL
TXN_00000681,CDR_00003988,0.834,TEMPORAL
TXN_00001028,CDR_00002417,0.768,GEO_SPATIAL
TXN_00000752,CDR_00002478,0.939,ENTITY
TXN_00001844,CDR_00004187,0.894,TEMPORAL
TXN_00001629,CDR_00002889,0.969,TEMPORAL
TXN_00001329,CDR_00004907,0.709,TEMPORAL
TXN_00001521,CDR_00002297,0.979,ENTITY
TXN_00001872,CDR_00002772,0.825,GEO_SPATIAL
TXN_00000715,CDR_00003784,0.83,GEO_SPATIAL
TXN_00000980,CDR_00001376,0.714,GEO_SPATIAL
TXN_00000032,CDR_00004184,0.982,ENTITY
TXN_00000296,CDR_00001068,0.988,TEMPORAL
TXN_00000030,CDR_00005863,0.868,GEO_SPATIAL
TXN_00000552,CDR_00003031,0.956,ENTITY
TXN_00000832,CDR_00005241,0.932,ENTITY
TXN_00000321,CDR_00000610,0.806,ENTITY
TXN_00001790,CDR_00005556,0.996,TEMPORAL
TXN_00000481,CDR_00002851,0.759,ENTITY
TXN_00001395,CDR_00005388,0.787,GEO_SPATIAL
TXN_00001814,CDR_00000409,0.873,GEO_SPATIAL
TXN_00001776,CDR_00005827,0.818,ENTITY
TXN_00000235,CDR_00000221,0.871,GEO_SPATIAL
TXN_00001314,CDR_00003965,0.883,GEO_SPATIAL
TXN_00000209,CDR_00004100,0.775,TEMPORAL
TXN_00000834,CDR_00000919,0.886,ENTITY
TXN_00001430,CDR_00001576,0.874,ENTITY
TXN_00000617,CDR_00003414,0.92,TEMPORAL
TXN_00001281,CDR_00000700,0.885,GEO_SPATIAL
TXN_00000575,CDR_00001536,0.76,ENTITY
TXN_00001216,CDR_00003275,0.829,GEO_SPATIAL
TXN_00001246,CDR_00005313,0.993,ENTITY
TXN_00001084,CDR_00001616,0.986,GEO_SPATIAL
TXN_00001031,CDR_00000483,0.826,TEMPORAL
TXN_00001642,CDR_00004955,0.892,TEMPORAL
TXN_00001153,CDR_00004908,0.998,TEMPORAL
TXN_00001701,CDR_00005193,0.766,TEMPORAL
TXN_00000627,CDR_00003662,0.827,GEO_SPATIAL
TXN_00001491,CDR_00003176,0.882,GEO_SPATIAL
TXN_00000641,CDR_00005937,0.707,ENTITY
TXN_00001516,CDR_00000963,0.814,ENTITY
TXN_00000950,CDR_00002597,0.867,TEMPORAL
TXN_00001815,CDR_00000640,0.772,GEO_SPATIAL
TXN_00000223,CDR_00000176,0.738,GEO_SPATIAL
TXN_00000489,CDR_00000872,0.704,TEMPORAL
TXN_00000419,CDR_00005053,0.717,ENTITY
TXN_00001300,CDR_00001239,0.933,TEMPORAL
TXN_00001624,CDR_00005398,0.867,GEO_SPATIAL
TXN_00000508,CDR_00000097,0.779,TEMPORAL
TXN_00000083,CDR_00005952,0.802,TEMPORAL
TXN_00001162,CDR_00000721,0.713,TEMPORAL
TXN_00001249,CDR_00001323,0.919,TEMPORAL
TXN_00000933,CDR_00000920,0.993,TEMPORAL
TXN_00000397,CDR_00001196,0.825,GEO_SPATIAL
TXN_00000323,CDR_00001137,0.979,GEO_SPATIAL
TXN_00001440,CDR_00005278,0.943,GEO_SPATIAL
TXN_00001943,CDR_00000855,0.842,ENTITY
TXN_00000408,CDR_00002496,0.988,GEO_SPATIAL
TXN_00001361,CDR_00003339,0.905,ENTITY
TXN_00001919,CDR_00002473,0.793,GEO_SPATIAL
TXN_00001274,CDR_00004683,0.906,TEMPORAL
TXN_00001222,CDR_00004644,0.852,GEO_SPATIAL
TXN_00000801,CDR_00005161,0.973,GEO_SPATIAL
TXN_00000867,CDR_00002412,0.958,ENTITY
TXN_00001630,CDR_00001990,0.98,TEMPORAL
TXN_00000461,CDR_00005654,0.783,GEO_SPATIAL
TXN_00000345,CDR_00003099,0.934,TEMPORAL
TXN_00001276,CDR_00003938,0.901,ENTITY
TXN_00001543,CDR_00002511,0.987,TEMPORAL
TXN_00001093,CDR_00003888,0.829,ENTITY
TXN_00000690,CDR_00005417,0.916,TEMPORAL
TXN_00001689,CDR_00000696,0.862,TEMPORAL
TXN_00000174,CDR_00003073,0.838,ENTITY
TXN_00000982,CDR_00003437,0.857,ENTITY
TXN_00000326,CDR_00005899,0.993,ENTITY
TXN_00001821,CDR_00001480,0.978,ENTITY
TXN_00000763,CDR_00002261,0.877,TEMPORAL
TXN_00001488,CDR_00002371,0.757,TEMPORAL
TXN_00000256,CDR_00000612,0.704,TEMPORAL
TXN_00000680,CDR_00005972,0.705,TEMPORAL
TXN_00001385,CDR_00000751,0.728,ENTITY
TXN_00000677,CDR_00000485,0.936,TEMPORAL
