IPDR_ID,Timestamp,Device_ID,Source_IP,Dest_IP,Dest_Port,Protocol,Bytes_Sent,Bytes_Received,Domain_Name,Session_Duration_Sec,ASN,VPN_Flag,Tor_Flag,Location_Context
IPDR_00000032,2023-01-03 16:08:43,DEV_001878,140.97.145.1,185.175.250.214,53,ICMP,67,8185,amazon.com,174.78,32934,0,0,HOU
IPDR_00000033,2023-01-03 21:03:55,DEV_001430,254.105.197.211,72.20.231.184,5432,TCP,40331,17350,amazon.com,167.65,16509,0,0,MIA
IPDR_00000034,2023-01-03 22:10:43,DEV_001850,173.179.75.196,233.225.76.30,5432,UDP,8867,533129,cdn.net,690.74,15169,0,0,BOS
IPDR_00000035,2023-01-03 22:46:29,DEV_000511,1.118.173.151,230.89.79.69,22,UDP,1955,12099,tor.exit.node,160.81,16509,0,0,NYC
IPDR_00000036,2023-01-04 00:15:20,DEV_001287,241.148.5.154,175.155.115.136,22,TCP,700,3805,dark.xyz,256.29,32934,0,0,LA
IPDR_00000037,2023-01-04 01:25:16,DEV_001957,228.206.157.81,49.244.85.144,443,TCP,62260,45435,tor.exit.node,36.86,0,0,0,SEA
IPDR_00000038,2023-01-04 04:48:33,DEV_000246,157.194.252.9,211.38.226.96,8080,UDP,106,14839,amazon.com,106.57,16509,0,0,LA
IPDR_00000039,2023-01-04 04:57:48,DEV_001245,90.221.20.126,156.134.62.206,22,TCP,968,76395,amazon.com,194.6,16509,0,0,LA
IPDR_00000040,2023-01-04 10:26:09,DEV_001039,171.65.112.200,141.33.21.203,53,TCP,5822,7391,google.com,253.41,16509,0,0,SEA
IPDR_00000041,2023-01-04 13:00:41,DEV_000489,201.242.173.101,110.166.47.118,22,ICMP,971,1116,amazon.com,34.5,0,0,0,HOU
IPDR_00000042,2023-01-04 17:51:19,DEV_000611,208.106.145.124,223.54.219.100,80,ICMP,2497,10926,bank.com,242.58,8075,0,0,SEA
IPDR_00000043,2023-01-04 18:56:21,DEV_000391,242.49.30.36,29.23.110.106,443,UDP,149199,28044,api.service.io,228.16,16509,0,0,NYC
IPDR_00000044,2023-01-04 23:53:47,DEV_000884,213.126.43.95,111.110.169.126,80,UDP,27237,3794,tor.exit.node,490.18,15169,0,0,BOS
IPDR_00000045,2023-01-05 03:13:10,DEV_000145,178.132.50.59,125.206.235.129,22,UDP,58188,11734,bank.com,263.9,15169,0,0,BOS
IPDR_00000046,2023-01-05 04:29:55,DEV_001992,134.110.184.29,226.198.80.44,8080,ICMP,7530,4334,amazon.com,155.11,16509,0,0,NYC
IPDR_00000047,2023-01-05 08:04:26,DEV_000461,34.28.140.73,202.125.122.134,3306,ICMP,416,3501,cdn.net,33.82,16509,0,0,CHI
IPDR_00000048,2023-01-05 09:45:41,DEV_000564,210.5.171.6,232.175.250.76,5432,ICMP,1974,10032,bank.com,27.8,0,0,0,MIA
IPDR_00000049,2023-01-05 10:37:06,DEV_000056,242.92.150.224,4.240.4.92,5432,TCP,4488,45,tor.exit.node,147.68,32934,0,0,NYC
IPDR_00000050,2023-01-05 12:18:41,DEV_001427,205.76.214.15,63.39.127.166,3306,ICMP,20467,5553,bank.com,184.93,8075,0,0,NYC
IPDR_00000051,2023-01-05 12:54:04,DEV_000535,185.135.39.194,189.136.27.116,8080,TCP,76135,355,google.com,725.77,16509,0,0,NYC
IPDR_00000052,2023-01-05 16:25:55,DEV_000715,81.145.245.192,159.131.18.251,53,UDP,3380,9660,amazon.com,169.5,15169,0,0,HOU
IPDR_00000053,2023-01-05 16:30:26,DEV_001773,115.21.142.35,184.248.209.28,80,TCP,1358,26070,dark.xyz,73.97,0,0,0,CHI
IPDR_00000054,2023-01-05 17:17:56,DEV_001832,98.20.116.142,65.31.253.126,443,TCP,30410,1252,google.com,27.07,8075,0,0,BOS
IPDR_00000055,2023-01-05 22:21:23,DEV_001225,8.123.93.26,200.29.45.163,443,TCP,6468,6576,amazon.com,343.2,15169,0,0,CHI
IPDR_00000056,2023-01-06 08:05:07,DEV_001159,186.13.13.154,251.215.29.41,53,UDP,740,4331,google.com,167.69,0,0,0,HOU
IPDR_00000057,2023-01-06 10:02:27,DEV_001551,11.194.188.212,226.59.189.105,80,UDP,11565,322,dark.xyz,1135.73,16509,0,0,SEA
IPDR_00000058,2023-01-06 16:30:27,DEV_000407,146.220.91.63,253.157.35.213,443,ICMP,70,20254,google.com,562.36,32934,0,0,LA
IPDR_00000059,2023-01-06 19:44:51,DEV_000544,208.203.219.150,49.234.1.243,443,ICMP,629,4356,bank.com,131.5,16509,0,0,NYC
IPDR_00000060,2023-01-06 20:59:15,DEV_001978,181.93.222.72,206.219.162.65,8080,TCP,4041,18028,dark.xyz,116.78,0,0,0,SEA
IPDR_00000061,2023-01-07 03:17:44,DEV_000721,206.77.247.98,248.42.8.110,443,TCP,14369,2052,bank.com,688.72,15169,0,0,NYC
IPDR_00000062,2023-01-07 06:55:53,DEV_001771,84.222.111.54,70.119.120.136,53,TCP,7173,2623,bank.com,81.77,0,0,0,BOS
IPDR_00000063,2023-01-07 07:11:28,DEV_000190,147.101.146.133,59.233.56.17,443,UDP,23724,11734,google.com,20.6,0,0,0,MIA
IPDR_00000064,2023-01-07 11:27:39,DEV_000833,100.53.103.107,184.175.216.26,5432,TCP,1368,311,google.com,74.88,8075,0,0,SEA
IPDR_00000065,2023-01-07 14:22:19,DEV_000924,130.206.89.165,42.220.137.146,8080,UDP,4455,502,google.com,402.84,16509,0,0,NYC
IPDR_00000066,2023-01-07 14:42:12,DEV_000247,216.68.133.20,214.163.99.171,80,TCP,24720,94,amazon.com,683.99,0,0,0,SEA
IPDR_00000067,2023-01-07 15:18:01,DEV_000346,70.84.133.249,145.189.134.174,3306,TCP,65,321,google.com,219.78,32934,0,0,CHI
IPDR_00000068,2023-01-07 16:19:24,DEV_000402,114.110.190.74,227.252.168.151,443,TCP,1555,681,tor.exit.node,235.21,0,0,0,LA
IPDR_00000069,2023-01-07 16:57:22,DEV_000155,120.37.165.90,139.208.196.156,53,TCP,8127,10335,api.service.io,10.69,32934,0,0,SEA
IPDR_00000070,2023-01-07 18:04:07,DEV_000241,46.196.82.81,26.64.94.139,53,ICMP,28902,755,google.com,19.81,0,0,0,CHI
IPDR_00000071,2023-01-07 18:07:25,DEV_001401,134.80.118.230,107.96.136.192,5432,ICMP,1696,832,bank.com,198.75,8075,0,0,CHI
IPDR_00000072,2023-01-07 21:10:39,DEV_001750,17.238.48.221,128.181.132.205,8080,TCP,2592,180,tor.exit.node,429.09,32934,0,0,BOS
IPDR_00000073,2023-01-08 01:58:50,DEV_000764,108.143.48.12,174.184.57.98,22,UDP,10025,45554,api.service.io,147.93,8075,0,0,NYC
IPDR_00000074,2023-01-08 09:25:57,DEV_000554,208.28.101.72,42.93.196.183,22,UDP,30468,4413,cdn.net,70.99,32934,0,0,NYC
IPDR_00000075,2023-01-08 11:32:45,DEV_001058,194.107.140.125,173.158.28.95,80,ICMP,2315,445,amazon.com,672.0,8075,0,0,SEA
IPDR_00000076,2023-01-08 11:40:57,DEV_001225,32.137.225.97,64.15.56.27,8080,UDP,6119,394,api.service.io,627.83,16509,0,0,MIA
IPDR_00000077,2023-01-08 14:22:33,DEV_001739,108.191.137.79,236.69.104.156,53,TCP,52001,6598,bank.com,23.89,8075,0,0,CHI
IPDR_00000078,2023-01-08 14:37:42,DEV_000679,66.0.143.31,67.123.41.14,8080,ICMP,10372,1755,google.com,237.47,16509,0,0,CHI
IPDR_00000079,2023-01-08 17:25:48,DEV_001537,200.29.221.201,105.131.21.228,80,ICMP,1129,47922,cdn.net,45.34,8075,0,0,MIA
IPDR_00000080,2023-01-08 19:49:06,DEV_001795,219.18.204.181,10.40.168.48,8080,UDP,948220,2674,google.com,467.66,32934,1,1,HOU
IPDR_00000081,2023-01-08 20:59:23,DEV_000123,215.18.147.221,75.243.179.185,3306,ICMP,34241,26320,dark.xyz,379.52,16509,0,0,HOU
IPDR_00000082,2023-01-08 22:41:36,DEV_001972,95.68.109.28,219.236.104.200,53,ICMP,232,101224,cdn.net,658.08,0,0,0,NYC
IPDR_00000083,2023-01-08 22:47:58,DEV_000854,210.156.34.88,39.238.198.102,443,UDP,26600,111,tor.exit.node,38.55,16509,0,0,MIA
IPDR_00000084,2023-01-09 01:45:17,DEV_001059,90.40.101.234,122.84.212.87,8080,TCP,2112,918,tor.exit.node,227.08,15169,0,0,SEA
IPDR_00000085,2023-01-09 04:12:27,DEV_000417,173.161.30.81,233.253.254.232,80,UDP,7823,59674,google.com,134.51,0,0,0,SEA
IPDR_00000086,2023-01-09 07:58:50,DEV_000021,146.51.73.49,114.230.220.171,8080,ICMP,8812,3019,amazon.com,125.82,16509,0,0,CHI
IPDR_00000087,2023-01-09 12:35:26,DEV_001722,9.113.51.70,246.52.85.3,53,TCP,1271,31854,bank.com,642.51,8075,0,0,BOS
IPDR_00000088,2023-01-09 14:51:21,DEV_000471,147.85.172.52,233.28.103.132,3306,TCP,1594,3664,google.com,228.98,32934,0,0,SEA
IPDR_00000089,2023-01-09 18:19:53,DEV_000686,106.135.234.114,168.114.135.14,3306,TCP,25307,1175,api.service.io,107.99,8075,0,0,LA
IPDR_00000090,2023-01-09 19:30:03,DEV_000451,137.75.14.60,219.121.74.123,5432,TCP,10599,860,amazon.com,592.03,8075,0,0,LA
IPDR_00000091,2023-01-09 22:13:35,DEV_000457,141.164.169.133,204.112.157.198,443,ICMP,6634,349,cdn.net,45.85,15169,0,0,MIA
IPDR_00000092,2023-01-09 22:41:18,DEV_000764,220.62.15.60,210.118.241.117,443,TCP,2426,7738,bank.com,149.11,15169,0,0,HOU
IPDR_00000093,2023-01-09 22:44:33,DEV_000113,147.171.38.29,253.52.211.10,443,TCP,58635,61819,amazon.com,373.88,15169,0,0,CHI
IPDR_00000094,2023-01-09 22:52:53,DEV_001975,192.238.228.125,241.105.80.8,80,TCP,239,1573,cdn.net,123.5,0,0,0,HOU
IPDR_00000095,2023-01-09 22:59:15,DEV_000247,111.164.165.217,110.84.30.208,22,UDP,2515,5699,google.com,217.81,16509,0,0,CHI
IPDR_00000096,2023-01-10 02:18:42,DEV_001394,103.6.173.209,161.214.252.161,80,ICMP,12890,29578,tor.exit.node,204.54,15169,0,0,LA
IPDR_00000097,2023-01-10 04:41:52,DEV_000012,78.240.159.244,21.99.236.32,443,TCP,632,15460,bank.com,145.16,15169,0,0,NYC
IPDR_00000098,2023-01-10 05:43:52,DEV_000249,127.15.102.67,151.73.134.40,80,TCP,362629,3869,tor.exit.node,844.49,32934,0,0,MIA
IPDR_00000099,2023-03-13 12:12:03,DEV_000117,5.221.145.108,57.93.223.21,443,UDP,23091,1955,google.com,745.67,15169,0,0,CHI
IPDR_00000100,2023-01-10 07:51:04,DEV_000764,156.249.249.55,246.45.140.236,5432,TCP,44046,19568,tor.exit.node,602.7,32934,0,0,HOU
IPDR_00000101,2023-01-10 09:10:55,DEV_001558,137.253.110.132,54.53.121.65,443,UDP,2167,23284,dark.xyz,75.9,8075,0,0,LA
IPDR_00000102,2023-01-10 15:04:53,DEV_000008,216.174.81.234,216.114.215.96,53,UDP,124,699,bank.com,473.9,8075,0,0,NYC
IPDR_00000103,2023-01-10 19:30:53,DEV_000926,184.215.120.24,61.147.121.156,8080,ICMP,90808,724,dark.xyz,133.08,8075,0,0,NYC
IPDR_00000104,2023-01-10 22:58:18,DEV_001093,166.94.170.84,147.42.186.38,8080,UDP,55,6164,bank.com,306.45,32934,0,0,SEA
IPDR_00000105,2023-01-10 23:33:04,DEV_001713,117.231.109.9,184.239.59.186,3306,ICMP,3358,9098,api.service.io,118.06,0,0,0,NYC
IPDR_00000106,2023-01-11 16:16:10,DEV_001091,196.146.101.14,209.235.65.216,22,UDP,1152,46329,cdn.net,80.79,0,0,0,BOS
IPDR_00000107,2023-01-11 21:37:38,DEV_001392,124.146.237.44,95.247.9.32,22,ICMP,15573,52688,bank.com,103.43,8075,0,0,NYC
IPDR_00000108,2023-01-11 23:38:14,DEV_001496,165.37.137.30,254.188.124.171,53,ICMP,1471,8421,api.service.io,278.72,0,0,0,MIA
IPDR_00000109,2023-01-12 08:55:30,DEV_000491,149.102.41.234,138.2.183.217,5432,TCP,13651,549,api.service.io,1395.31,0,0,0,HOU
IPDR_00000110,2023-01-12 12:46:40,DEV_000510,122.13.66.134,220.245.101.254,5432,ICMP,8720,2634,bank.com,521.95,15169,0,0,SEA
IPDR_00000111,2023-01-12 13:33:26,DEV_000888,211.172.52.47,150.37.229.105,5432,UDP,1735,9223,google.com,676.48,16509,0,0,HOU
IPDR_00000112,2023-01-12 13:57:03,DEV_000025,119.78.224.145,236.36.152.81,5432,UDP,37,3589,amazon.com,469.36,32934,0,0,HOU
IPDR_00000113,2023-01-12 14:50:10,DEV_001166,57.12.57.157,97.20.231.6,3306,UDP,312348,33955,bank.com,202.04,16509,0,0,NYC
IPDR_00000114,2023-01-12 16:32:00,DEV_000601,3.113.88.236,28.108.70.132,3306,ICMP,331,4740,bank.com,259.75,32934,0,0,HOU
IPDR_00000115,2023-01-12 16:56:30,DEV_000765,240.42.60.235,233.38.47.199,53,TCP,232033,8781,bank.com,363.02,8075,0,0,SEA
IPDR_00000116,2023-01-12 17:18:21,DEV_001238,99.145.122.6,223.9.126.153,53,UDP,420,592,cdn.net,961.61,16509,0,0,BOS
IPDR_00000117,2023-01-12 17:32:47,DEV_000141,87.181.101.129,133.74.119.169,3306,TCP,44707,5605,api.service.io,100.89,0,0,0,SEA
IPDR_00000118,2023-01-12 19:39:16,DEV_000917,18.125.173.244,206.191.62.222,8080,UDP,22556,514,tor.exit.node,175.52,32934,0,0,HOU
IPDR_00000119,2023-01-12 21:58:24,DEV_001263,168.227.148.175,221.55.118.82,3306,TCP,935,7022,api.service.io,81.5,8075,0,0,LA
IPDR_00000120,2023-01-13 09:06:53,DEV_001239,87.44.109.49,214.76.40.100,22,TCP,1416,167,cdn.net,13.5,16509,0,0,LA
IPDR_00000121,2023-01-13 09:10:33,DEV_001486,207.62.59.219,192.250.236.99,3306,ICMP,6785,11422,api.service.io,47.22,32934,0,0,SEA
IPDR_00000122,2023-01-13 09:14:09,DEV_001733,140.210.123.5,167.223.53.181,3306,UDP,113,1884,bank.com,258.01,8075,0,0,HOU
IPDR_00000123,2023-01-13 12:59:06,DEV_001827,216.69.178.249,112.56.3.209,22,ICMP,2041,788,tor.exit.node,1096.54,0,0,0,CHI
IPDR_00000124,2023-01-13 19:43:10,DEV_001383,11.87.195.9,171.43.230.55,80,ICMP,34,3347,bank.com,79.56,8075,0,0,SEA
IPDR_00000125,2023-01-13 22:33:24,DEV_000715,39.42.142.184,129.171.57.119,443,ICMP,12183,2909,google.com,451.32,16509,0,0,SEA
IPDR_00000126,2023-01-13 23:29:40,DEV_000352,150.163.232.111,246.39.214.149,22,ICMP,5517,749,amazon.com,470.79,0,0,0,CHI
IPDR_00000127,2023-01-14 06:39:26,DEV_000862,206.78.90.191,210.7.80.215,22,ICMP,23216,1952,cdn.net,325.87,0,0,0,BOS
IPDR_00000128,2023-01-14 10:50:39,DEV_001319,128.130.47.37,170.14.141.208,22,UDP,3455,5815,bank.com,288.76,8075,0,0,CHI
IPDR_00000129,2023-01-14 12:43:05,DEV_000887,76.22.246.96,113.123.191.147,443,UDP,4802,1193,tor.exit.node,1322.89,32934,0,0,CHI
IPDR_00000130,2023-01-14 17:13:58,DEV_000716,31.104.96.47,152.41.164.173,53,TCP,5311,3811,amazon.com,174.67,15169,0,0,CHI
IPDR_00000131,2023-01-14 22:57:45,DEV_001264,46.90.206.184,134.46.11.220,80,UDP,22739,16493,tor.exit.node,43.34,8075,0,0,HOU
IPDR_00000132,2023-01-15 04:42:37,DEV_001216,27.152.215.241,252.114.7.132,80,UDP,32663,149,dark.xyz,419.24,16509,0,0,BOS
IPDR_00000133,2023-01-15 05:19:17,DEV_000685,229.64.111.4,249.243.138.73,443,UDP,1259,12885,api.service.io,269.97,8075,0,0,NYC
IPDR_00000134,2023-01-15 08:27:26,DEV_001484,27.37.196.224,99.112.76.216,80,UDP,4946,14779,google.com,661.54,8075,0,0,BOS
IPDR_00000135,2023-01-15 09:07:03,DEV_000633,92.30.193.156,254.74.93.220,8080,TCP,1032,30801,amazon.com,728.92,15169,0,0,NYC
IPDR_00000136,2023-01-15 11:21:01,DEV_000420,72.95.210.155,114.165.162.86,5432,TCP,49729,3936,dark.xyz,6.9,32934,0,0,HOU
IPDR_00000137,2023-01-15 13:09:26,DEV_001455,9.72.8.195,75.67.102.133,5432,ICMP,123,729,cdn.net,38.32,15169,0,0,MIA
IPDR_00000138,2023-01-15 15:47:10,DEV_001393,197.148.224.218,30.6.91.213,443,UDP,3556,22506,bank.com,53.87,32934,0,0,LA
IPDR_00000139,2023-01-15 16:30:56,DEV_000660,4.108.47.90,138.63.233.53,8080,UDP,669,268,google.com,386.31,15169,0,0,CHI
IPDR_00000140,2023-01-15 20:23:20,DEV_000986,215.223.124.179,107.103.54.142,53,ICMP,73739,125,google.com,253.86,16509,0,0,NYC
IPDR_00000141,2023-01-15 22:28:06,DEV_000312,87.111.80.222,248.72.254.171,80,UDP,9994,18885,dark.xyz,315.71,32934,0,0,CHI
IPDR_00000142,2023-01-15 22:50:39,DEV_001649,202.219.192.84,43.29.196.27,8080,UDP,21716,594,amazon.com,51.05,16509,0,0,LA
IPDR_00000143,2023-01-16 00:59:09,DEV_000332,31.161.83.63,172.153.80.92,3306,TCP,49,683,cdn.net,976.76,16509,0,0,NYC
IPDR_00000144,2023-01-16 01:03:56,DEV_001319,82.124.23.180,227.251.90.100,80,TCP,301,19274,google.com,194.76,15169,0,0,HOU
IPDR_00000145,2023-01-16 06:34:51,DEV_000131,98.236.171.239,18.214.25.205,53,ICMP,404,15365,google.com,128.59,0,0,0,CHI
IPDR_00000146,2023-01-16 06:50:58,DEV_000968,254.188.239.59,38.99.232.62,443,ICMP,934,205008,bank.com,215.42,16509,0,0,BOS
IPDR_00000147,2023-01-16 08:12:48,DEV_009543,159.103.168.192,188.107.162.32,5432,TCP,5457,1342,cdn.net,323.28,0,0,0,HOU
IPDR_00000148,2023-01-16 09:05:26,DEV_000241,45.42.226.113,145.245.107.238,8080,TCP,9885,2864,tor.exit.node,438.75,0,0,0,BOS
IPDR_00000149,2023-01-16 10:23:19,DEV_001786,35.205.105.71,139.239.68.221,22,UDP,14158,1936,tor.exit.node,181.05,15169,0,0,CHI
IPDR_00000150,2023-01-16 18:14:58,DEV_001990,112.238.161.123,152.62.81.72,5432,TCP,2852,5856,bank.com,553.0,0,0,0,BOS
IPDR_00000151,2023-01-16 18:42:22,DEV_000752,68.170.203.92,218.40.54.202,5432,ICMP,3759,20413,dark.xyz,4.75,16509,0,0,CHI
IPDR_00000152,2023-01-17 00:50:50,DEV_001218,35.157.198.74,110.248.243.33,3306,ICMP,3622,5164,bank.com,40.34,8075,0,0,SEA
IPDR_00000153,2023-01-17 07:23:10,DEV_000021,24.47.153.84,127.104.44.231,443,UDP,5433,13778,cdn.net,117.31,0,0,0,NYC
IPDR_00000154,2023-01-17 08:38:45,DEV_000543,19.28.139.87,24.251.23.29,3306,UDP,9936,27155,tor.exit.node,173.14,32934,0,0,HOU
IPDR_00000155,2023-01-17 09:08:07,DEV_001336,9.24.81.86,119.27.222.78,3306,ICMP,230,832,google.com,591.98,8075,0,0,HOU
IPDR_00000156,2023-01-17 11:17:50,DEV_001715,104.202.21.160,131.135.39.242,53,ICMP,587,4795,cdn.net,566.64,32934,0,0,NYC
IPDR_00000157,2023-01-17 12:25:24,DEV_000335,14.41.66.207,182.96.125.2,8080,UDP,1778,26421,dark.xyz,271.22,16509,0,0,CHI
IPDR_00000158,2023-01-17 12:53:49,DEV_000586,214.84.137.100,160.123.45.31,22,TCP,14115,7029,dark.xyz,181.73,32934,0,0,MIA
IPDR_00000159,2023-01-17 17:38:26,DEV_000228,17.239.220.147,124.248.217.21,22,UDP,8094,202375,bank.com,201.5,15169,0,0,CHI
IPDR_00000160,2023-01-17 22:05:31,DEV_000337,247.133.51.91,50.101.94.166,80,UDP,134,775,google.com,383.36,32934,0,0,LA
IPDR_00000161,2023-01-17 22:53:05,DEV_001733,43.251.77.242,206.186.73.84,8080,UDP,5954,2020,api.service.io,372.46,16509,0,0,NYC
IPDR_00000162,2023-01-17 23:06:20,DEV_001850,83.8.227.173,134.134.174.141,443,TCP,2400,301,bank.com,453.3,16509,0,0,NYC
IPDR_00000163,2023-01-18 00:33:53,DEV_000189,46.61.185.134,133.3.179.188,3306,TCP,5857,3220,dark.xyz,586.38,32934,0,0,NYC
IPDR_00000164,2023-01-18 00:49:53,DEV_000472,61.43.137.192,185.24.57.21,443,ICMP,4011,10005,cdn.net,332.27,8075,0,0,NYC
IPDR_00000165,2023-01-18 02:13:51,DEV_000390,114.6.148.106,145.80.33.110,22,ICMP,456,57,google.com,16.88,32934,0,0,HOU
IPDR_00000166,2023-01-18 04:27:17,DEV_001656,78.170.180.29,91.53.55.250,22,ICMP,6600,526,bank.com,29.27,0,0,0,CHI
IPDR_00000167,2023-01-18 05:12:09,DEV_000247,11.141.11.47,116.165.95.101,3306,TCP,1713,406,amazon.com,77.32,16509,0,0,BOS
IPDR_00000168,2023-01-18 07:08:58,DEV_000353,157.221.63.165,119.0.2.229,3306,TCP,4932,715,cdn.net,77.67,8075,0,0,LA
IPDR_00000169,2023-01-18 08:11:28,DEV_001421,31.110.170.238,78.140.144.62,3306,TCP,75616,27898,google.com,121.3,16509,0,0,MIA
IPDR_00000170,2023-01-18 10:01:59,DEV_000046,47.192.188.46,1.112.54.140,53,UDP,7618,928,amazon.com,80.91,8075,0,0,NYC
IPDR_00000171,2023-08-14 00:40:39,DEV_001276,58.209.214.248,229.170.50.79,22,UDP,11518,1031,dark.xyz,493.17,16509,0,0,HOU
IPDR_00000172,2023-01-18 12:37:54,DEV_000671,222.169.119.135,6.7.194.218,22,UDP,167,1581,google.com,12.19,0,0,0,BOS
IPDR_00000173,2023-01-18 12:45:50,DEV_000703,218.8.86.204,192.6.132.252,3306,TCP,147,48925,cdn.net,137.12,0,0,0,SEA
IPDR_00000174,2023-01-18 16:20:21,DEV_001550,206.179.94.79,4.100.203.213,53,TCP,351,688,tor.exit.node,26.26,32934,0,0,BOS
IPDR_00000175,2023-01-18 18:57:31,DEV_000292,189.179.26.33,223.223.122.167,8080,UDP,7455,162,tor.exit.node,149.33,16509,0,0,BOS
IPDR_00000176,2023-01-18 22:51:59,DEV_000797,22.250.3.21,135.214.1.109,53,TCP,828,150,tor.exit.node,354.7,0,0,0,MIA
